Opponent,Date,Period,FaceoffAttempts,FaceoffWins,Hits,Shots,ShotsFromHouse,TOO,TON,TOD,PEN,PIM,PK,PP,Saves,HitsOpp,PENOPP,PIMOPP
Stevenson,1/27/24,1,18,9,9,9,3,2,1,2,2,4,2,0,8,12,2,4
Stevenson,1/27/24,2,15,7,9,17,5,4,2,0,0,0,0,0,2,8,0,0
Stevenson,1/27/24,3,27,20,10,13,6,1,1,4,0,0,0,0,10,11,0,0
Stevenson,1/27/24,FG,60,36,28,39,14,7,4,6,2,4,2,0,20,31,2,4
NCSU,2/02/24,1,17,8,12,7,6,1,1,1,1,2,0,0,12,5,0,0
NCSU,2/02/24,2,15,6,5,8,4,0,0,0,2,4,2,0,7,7,2,4
NCSU,2/02/24,3,15,12,6,7,4,2,3,0,1,2,1,0,11,5,1,2
NCSU,2/02/24,OT,4,1,0,2,2,0,0,0,0,0,0,0,3,0,0,0
NCSU,2/02/24,FG,51,27,23,24,16,3,4,1,4,8,3,0,33,17,3,6
NCSU,2/05/24,1,16,6,10,7,1,0,2,1,2,4,1,0,10,7,3,6
NCSU,2/05/24,2,26,11,6,9,2,1,3,0,2,4,2,0,12,4,2,4
NCSU,2/05/24,3,13,10,5,6,1,3,1,1,1,2,1,0,6,6,1,2
NCSU,2/05/24,FG,55,27,21,22,4,4,6,2,5,10,4,0,28,17,6,12